"vehicleid","Brand","Model","Year","N_view","N_offer","Seller_Type","Ask_Price","Sale_Price","Target"
546236,"Peugeot","2008",2021,171,2,"RAC",1100000,0,3
546244,"Renault","Clio",2018,43,2,"UYE",660000,649700,1
546251,"Renault","Megane",2017,47,49,"FILO",6e+05,0,2
546277,"Renault","Clio",2022,103,9,"RAC",755000,0,2
546284,"Renault","Clio",2022,70,24,"RAC",750000,0,2
546286,"Peugeot","2008",2023,54,60,"RAC",1205000,1221000,1
546287,"Peugeot","2008",2023,72,15,"RAC",1205000,1209000,1
546292,"Opel","Mokka",2023,59,7,"RAC",1180000,1161000,1
546302,"Opel","Mokka",2022,79,9,"RAC",1135000,1132500,1
546303,"Opel","Mokka",2022,47,17,"RAC",1135000,1130000,1
546308,"Opel","Mokka",2022,96,41,"RAC",1135000,1157000,1
546319,"Citroen","C5 AirCross",2023,64,33,"RAC",1475000,1495000,1
546320,"Opel","Mokka",2022,58,8,"RAC",1135000,1134500,1
546326,"Opel","Crossland",2022,35,39,"RAC",925000,935500,1
546330,"Citroen","C-Elysee",2023,24,5,"RAC",715000,706500,1
546331,"Citroen","C-Elysee",2023,29,48,"RAC",7e+05,718000,1
546332,"Citroen","C-Elysee",2023,27,20,"RAC",710000,719500,1
546351,"Opel","Mokka",2022,54,20,"RAC",1135000,1135500,1
546352,"Renault","Taliant",2022,25,24,"RAC",7e+05,699000,1
546354,"Opel","Crossland",2022,44,25,"RAC",1025000,1031000,1
546355,"Renault","Clio",2022,39,10,"RAC",747500,745000,1
546356,"Citroen","C3 AirCross",2022,36,40,"RAC",1040000,1045000,1
546368,"Peugeot","2008",2023,83,19,"RAC",1230000,1209000,1
546369,"Peugeot","2008",2023,41,14,"RAC",1230000,1201500,1
546373,"Citroen","C-Elysee",2022,33,0,"RAC",660000,660000,1
546374,"Renault","Taliant",2022,19,24,"RAC",7e+05,699500,1
546418,"Peugeot","301",2020,47,11,"UYE",520000,489000,3
546437,"Opel","Mokka",2023,51,4,"RAC",1225000,1219100,2
546476,"Renault","Symbol",2017,36,2,"RAC",435000,420000,1
546480,"Renault","Clio",2018,395,0,"RAC",554400,554400,4
546484,"Renault","Clio",2018,28,2,"RAC",555000,549500,1
546485,"Renault","Megane",2020,351,91,"RAC",792000,784200,4
546486,"Opel","Grandland X",2019,255,3,"RAC",965300,965300,3
546492,"Renault","Megane",2019,46,3,"RAC",691000,782000,1
546494,"Opel","Corsa",2015,193,1,"RAC",520000,520000,2
546504,"Renault","Kangoo Express",2020,31,3,"FILO",450000,440000,1
546505,"Renault","Kangoo Express",2020,44,6,"FILO",480000,472000,1
546506,"Renault","Kangoo Express",2020,36,24,"FILO",445000,444000,1
546507,"Renault","Kangoo Express",2020,55,3,"FILO",470000,451000,1
546513,"Opel","Corsa",2015,231,1,"RAC",540000,540000,2
546515,"Renault","Clio",2019,32,48,"RAC",562000,577000,1
546519,"Opel","Astra",2017,40,5,"RAC",615000,610500,1
546526,"Citroen","C3",2023,48,9,"RAC",850000,837000,1
546532,"Renault","Clio",2023,44,14,"RAC",716500,0,2
546533,"Peugeot","2008",2022,98,32,"RAC",1180000,1206000,1
546535,"Renault","Clio",2023,17,9,"RAC",715000,715500,1
546536,"Renault","Clio",2023,37,7,"RAC",715000,719000,1
546538,"Renault","Clio",2023,17,7,"RAC",715000,718500,1
546539,"Renault","Clio",2023,13,5,"RAC",720000,710500,1
546540,"Renault","Clio",2023,28,4,"RAC",715000,714000,1
546541,"Renault","Clio",2023,38,5,"RAC",715000,716000,1
546543,"Renault","Clio",2023,86,19,"RAC",715000,715500,1
546544,"Renault","Clio",2023,45,2,"RAC",715000,0,2
546545,"Renault","Clio",2023,70,14,"RAC",715000,720000,1
546547,"Renault","Clio",2023,79,10,"RAC",705000,695500,3
546548,"Opel","Corsa",2022,57,26,"RAC",825000,836500,1
546550,"Peugeot","2008",2022,56,7,"RAC",1210000,1199000,1
546551,"Peugeot","2008",2023,38,5,"RAC",1375000,1359000,1
546553,"Renault","Clio",2023,44,18,"RAC",720000,719500,2
546554,"Renault","Clio",2023,48,13,"RAC",720000,717000,2
546556,"Renault","Clio",2023,19,6,"RAC",715000,714000,1
546558,"Peugeot","3008",2023,98,9,"RAC",1570000,1563000,1
546559,"Opel","Corsa",2023,72,10,"RAC",865000,864500,1
546560,"Citroen","C-Elysee",2022,52,33,"RAC",690000,699500,1
546562,"Renault","Taliant",2022,26,14,"RAC",695000,686500,1
546563,"Renault","Clio",2022,59,48,"RAC",755000,753500,1
546566,"Renault","Clio",2022,31,16,"RAC",750000,747500,2
546568,"Renault","Clio",2022,43,21,"RAC",750000,0,2
546571,"Opel","Corsa",2023,25,21,"RAC",865000,863000,1
546574,"Citroen","C-Elysee",2023,7,1,"RAC",720000,709500,1
546575,"Opel","Crossland",2022,51,49,"RAC",1015000,1027000,1
546578,"Citroen","C5 AirCross",2022,69,2,"RAC",1475000,1471500,1
546581,"Renault","Clio",2023,29,10,"RAC",9e+05,886500,1
546588,"Renault","Taliant",2022,25,9,"RAC",7e+05,687000,1
546589,"Renault","Taliant",2022,23,4,"RAC",7e+05,689000,1
546592,"Opel","Corsa",2023,36,13,"RAC",865000,860000,1
546601,"Renault","Taliant",2022,43,11,"RAC",7e+05,702000,1
546602,"Renault","Taliant",2022,18,8,"RAC",7e+05,688500,1
546616,"Peugeot","Partner",2015,25,6,"UYE",560000,545000,1
546649,"Peugeot","2008",2020,0,0,"Satın Alma",1133000,1133000,1
546657,"Citroen","C5 AirCross",2023,0,0,"Satın Alma",1617000,1617000,1
546664,"Opel","Mokka",2022,62,9,"RAC",1135000,1166000,1
546666,"Peugeot","2008",2022,61,14,"RAC",1180000,1192000,1
546678,"Opel","Mokka",2022,74,44,"RAC",1135000,1194000,1
546680,"Citroen","C3 AirCross",2022,51,4,"RAC",1040000,0,4
546684,"Peugeot","408",2023,93,16,"RAC",1370000,1350000,1
546685,"Opel","Crossland",2022,28,3,"RAC",1025000,1024500,1
546686,"Renault","Taliant",2022,29,1,"RAC",7e+05,696000,1
546688,"Renault","Taliant",2022,42,38,"RAC",7e+05,699000,1
546689,"Citroen","C3 AirCross",2022,98,18,"RAC",1040000,0,4
546693,"Renault","Taliant",2022,29,21,"RAC",7e+05,689000,1
546698,"Opel","Mokka",2022,76,2,"RAC",1230000,0,3
546705,"Opel","Mokka",2022,66,17,"RAC",1135000,1170000,1
546715,"Citroen","C-Elysee",2022,66,14,"RAC",680000,621000,3
546716,"Renault","Clio",2023,49,4,"RAC",720000,720000,1
546717,"Peugeot","2008",2023,44,12,"RAC",1400000,1382000,1
546746,"Renault","Clio",2023,19,6,"RAC",715000,721500,1
546753,"Renault","Clio",2023,27,14,"RAC",890000,891500,1
546761,"Peugeot","2008",2022,38,12,"RAC",1180000,1200000,1
546765,"Renault","Clio",2022,52,15,"RAC",750000,748000,1
546782,"Citroen","C3 AirCross",2022,204,7,"RAC",985000,983000,4
546786,"Renault","Clio",2022,74,6,"RAC",750000,746000,1
546810,"Citroen","C3 AirCross",2022,54,13,"RAC",945000,0,2
546814,"Opel","Mokka",2022,59,16,"RAC",1185000,1185000,2
546816,"Renault","Clio",2023,15,5,"RAC",720000,715500,1
546820,"Renault","Clio",2022,26,12,"RAC",750000,747500,1
546859,"Citroen","C-Elysee",2023,19,13,"RAC",711000,711500,1
546878,"Renault","Megane",2020,1920,13,"RAC",722000,0,4
546881,"Renault","Megane",2020,153,3,"RAC",856000,856000,2
546915,"Renault","Fluence",2015,47,8,"RAC",5e+05,487000,1
546917,"Renault","Symbol",2015,42,5,"RAC",4e+05,372000,1
546938,"Renault","Clio",2019,34,5,"RAC",490000,468000,1
546950,"Renault","Clio",2022,108,5,"RAC",650000,0,3
546951,"Renault","Clio",2022,211,15,"RAC",650000,642000,4
546952,"Renault","Clio",2022,131,16,"RAC",7e+05,0,3
546957,"Renault","Clio",2020,93,6,"RAC",720000,692000,3
546991,"Renault","Megane",2020,127,93,"FILO",880000,915000,1
546992,"Renault","Megane",2021,144,14,"FILO",780000,760500,3
546999,"Opel","Corsa",2016,27,10,"RAC",559400,562500,1
547000,"Opel","Corsa",2016,27,20,"RAC",554400,563500,1
547003,"Renault","Clio",2019,39,1,"RAC",543000,537800,2
547022,"Renault","Clio",2023,81,19,"RAC",890000,912000,1
547023,"Opel","Crossland",2022,21,5,"RAC",1025000,1024500,1
547025,"Renault","Clio",2023,28,39,"RAC",720000,782500,1
547027,"Renault","Taliant",2022,41,4,"RAC",705000,691000,1
547032,"Renault","Clio",2023,43,1,"RAC",8e+05,788000,1
547043,"Renault","Clio",2023,38,23,"RAC",910000,910500,1
547068,"Citroen","C3 AirCross",2022,40,33,"RAC",995000,973000,4
547070,"Peugeot","2008",2023,45,16,"RAC",1250000,1240000,1
547074,"Opel","Corsa",2023,29,48,"RAC",865000,877500,1
547075,"Renault","Taliant",2022,44,4,"RAC",7e+05,689000,1
547082,"Renault","Clio",2023,15,2,"RAC",720000,708500,1
547114,"Renault","Clio",2023,65,9,"RAC",720000,711500,2
547117,"Renault","Clio",2023,71,24,"RAC",680000,0,4
547118,"Renault","Clio",2022,37,2,"RAC",610000,607500,1
547120,"Peugeot","2008",2023,59,20,"RAC",1240000,1250000,1
547123,"Renault","Clio",2022,44,14,"RAC",580000,572000,1
547128,"Renault","Taliant",2022,64,23,"RAC",7e+05,707000,1
547136,"Citroen","C5 AirCross",2022,162,32,"RAC",1470000,0,4
547139,"Renault","Taliant",2022,23,20,"RAC",7e+05,692500,1
547195,"Opel","Mokka",2023,44,9,"RAC",1210000,1191000,1
547199,"Opel","Mokka",2022,69,33,"RAC",1180000,1188500,1
547211,"Citroen","C3 AirCross",2022,43,14,"RAC",1e+06,994500,3
547221,"Opel","Corsa",2022,30,23,"RAC",830000,843000,1
547230,"Opel","Corsa",2020,400,5,"RAC",555000,0,4
547293,"Renault","Master",2012,28,25,"YETKILI SATICI",315000,321000,2
547301,"Renault","Master",2012,313,57,"YETKILI SATICI",370000,372500,4
547313,"Renault","Megane",2021,88,15,"FILO",765000,748500,3
547322,"Renault","Symbol",2016,45,19,"RAC",470000,460500,1
547348,"Renault","Clio",2019,25,16,"RAC",575000,576500,1
547349,"Renault","Clio",2019,16,2,"RAC",575000,569900,1
547364,"Renault","Master",2017,42,95,"YETKILI SATICI",5e+05,530500,1
547365,"Peugeot","3008",2019,232,0,"YETKILI SATICI",1160000,1160000,1
547368,"Peugeot","Expert",2020,171,0,"YETKILI SATICI",570000,570000,1
547383,"Opel","Grandland X",2020,0,0,"Satın Alma",1150000,1150000,1
547407,"Renault","Clio",2020,64,8,"RAC",691000,691000,1
547412,"Renault","Clio",2022,428,10,"RAC",635000,635000,4
547425,"Renault","Megane",2020,33,61,"RAC",817000,826400,1
547433,"Citroen","C-Elysee",2022,62,5,"RAC",7e+05,698500,1
547436,"Renault","Clio",2023,31,17,"RAC",720000,722500,1
547439,"Renault","Taliant",2022,36,28,"RAC",685000,675000,1
547442,"Renault","Clio",2023,43,1,"RAC",720000,718000,1
547452,"Renault","Clio",2023,20,3,"RAC",720000,708500,1
547454,"Peugeot","3008",2022,88,21,"RAC",1650000,1651500,1
547474,"Renault","Clio",2022,33,13,"RAC",750000,760500,1
547476,"Citroen","C3 AirCross",2022,93,11,"RAC",945000,0,3
547477,"Peugeot","2008",2022,64,6,"RAC",1210000,1209500,1
547481,"Renault","Clio",2022,46,18,"RAC",750000,760500,1
547483,"Peugeot","2008",2022,93,8,"RAC",1200000,1198500,2
547488,"Renault","Clio",2023,34,5,"RAC",910000,910500,1
547489,"Renault","Clio",2023,52,5,"RAC",720000,718500,2
547491,"Renault","Clio",2023,126,6,"RAC",910000,910000,2
547502,"Renault","Megane",2020,71,117,"RAC",851000,862600,1
547508,"Renault","Clio",2022,69,17,"RAC",726000,726000,1
547521,"Opel","Corsa",2022,160,13,"RAC",840000,0,4
547528,"Opel","Corsa",2022,60,11,"RAC",865000,861000,1
547530,"Citroen","C3 AirCross",2022,85,12,"RAC",975000,976000,3
547532,"Renault","Clio",2022,52,10,"RAC",750000,756000,1
547537,"Peugeot","2008",2023,60,4,"RAC",1250000,1249500,1
547547,"Renault","Clio",2022,51,18,"RAC",750000,760000,1
